June Neifert,-597
Lily Kaeo,-447
Jennifer Copper,-378
Joy Tan,-745.960
Richard Lopez,-545
Molly Dopler,-923
James Groch,-324
Dorothy Shepherd,-177.940
Mose Frieden,-571
Willie Sweeney,-107
Richard Wallace,-65
Frank Babcock,-740.403
Odelia Heppner,-356.463
Jade Brockington,-801.858
Angela Marion,-640.705
Ryan Powers,-920
Charlotte Murphree,-526
Betty Higgins,-423
Gerardo Obenshain,-533
Wallace Gabel,-366
Aaron Simcoe,-368
Anthony Gloden,-638.887
Jay Adams,-515.629
Gary Johnson,-267.551
James Farrell,-154
Juanita Adam,-117.757
Veronica Stoker,-701
Shawn Bengel,-53
Kimberly Fields,-840.855
Shakira Brandt,-127
James Guess,-925
Kenneth Perez,-931.674
Consuelo Holmes,-526.722
Delilah Giorgi,-49
Lottie Mcghee,-665.615
Garry Parks,-271.187
Archie Anderson,-468.738
Stephen Manning,-779
Shelby Coleman,-324
James Collins,-3
Sylvia Poole,-129
Dorothy Henderson,-218.747
Anna Corson,-758.520
Gilbert Oatney,-150.654
Charlie Dauenhauer,-132.149
Raphael Beltran,-289
Victoria Swem,-7
Jennifer Murray,-783.158
Randall Defilippis,-797.368
Richard Davis,-808
Stephanie Holman,-595.437
Steven Jones,-179.407
Helen Holcomb,-146
Daniel Valley,-291
Louis Gaudino,-798
Willie Kenny,-980.975
Edmund Dailey,-419.260
John Gilmore,-768.103
Timothy Tapia,-508.205
Martha Taylor,-423
Allen Aguilera,-984
Brandon Dodd,-212.122
Wanda Winsley,-336
John Marbley,-224
Shirley Wolfgang,-18.885
Arthur Souers,-429
Raymond Wilson,-224
John Cote,-446.196
Tracey Restivo,-762
Barbara Farrow,-777.24
Michael Rhodes,-361
Marie Rogers,-538
Jason Krause,-217
Kendrick Patel,-603.288
Bonnie Trevino,-227
Raymond Cook,-147.792
Jane Koenitzer,-283.103
Donald Thornton,-430.385
Michael Baron,-691
Sherry Mitchell,-227
Clotilde Finney,-241.238
Patricia Brackins,-994.192
Robert Risbeck,-903.139
Marion Pierce,-249
Norman Chang,-483
Barbara Hannon,-55.61
Francis Oconnor,-315
Paul Barness,-191
Russell Sharp,-794
George Hawkins,-314
Wendy Harris,-364.195
Mark Cannon,-444
Ralph Miller,-935.379
Elizabeth Baldwin,-122.168
Colleen Daniel,-891.443
Robin James,-162.213
Jaqueline Maxwell,-278
Katherine Anthony,-256
Diana Clark,-61.121
Rosemary Doyle,-478
Wendy Piper,-289
Joe Replogle,-38.323
Nelda Simmons,-82.309
Patrick Rhodes,-667.479
Thelma Baillargeon,-368
Keisha Overstreet,-103
Monte Paider,-93
Edward Huff,-544.259
Nella Jones,-65
Jeffery Yowell,-330
Gertrude Perron,-405.273
Karl Harrell,-136
Robert Leighton,-235.467
Joseph Gismondi,-548.320
Debra Lee,-636
Angela Whited,-104
Debbie Kirkman,-585.786
Joe Cason,-382.23
Thomas Colby,-592
Sandra Conklin,-527
Sandra Ford,-592.32
Maria Butler,-430.669
Paul Meltzer,-757.788
Shana Costello,-569
Herbert Ortega,-207.821
Edward Amick,-752
Vikki Welch,-881
Carrie Adams,-366.228
Merle Vigo,-865
Cynthia Foley,-319.176
Robert Ward,-422.53
Tom Turner,-566
Michael Lemons,-677
Daniel Boyd,-679.96
Annette Parson,-675.859
Marie Velasquez,-860.798
Fernando Amoroso,-559
Anne Young,-56
Marlin Mowry,-223
Joseph Landreth,-565
Earnest Corsaut,-485.101
Pauline Robbins,-538
Raymond Mcdonald,-829.813
Shannon Burgo,-604.714
Travis Edson,-398
Rosemary Blosser,-355.346
William Blount,-308.30
Gladys Saucier,-697.299
Debbie Truiolo,-111
Evelyn Vanness,-240.293
Maria Cothran,-299
Damien Medcalf,-945
Nancy Peek,-65
Jeanette Chaidez,-411.72
Terry Kollar,-782.389
Tyree Graves,-675.709
Michael Corliss,-399.362
Sybil Pence,-172
Kirsten Chapa,-701
Louis Tanguay,-573
Everett Erekson,-90.821
Katie Stanley,-312
Valeria Emch,-303
Kimberly Summers,-201.210
Thomas Wilks,-297.204
Thomas Merk,-801
Gayle Grondin,-901
Genevieve Buchmann,-570.251
Kristi Hamelin,-658.74
William Rodriguez,-432.908
Susie Garey,-318
Levi Smith,-652
John Hall,-268.577
Diane Davis,-77.172
Gaylord Wong,-408.344
Kimberly Hungerford,-146.648
Jake Chen,-640.663
Charles Morrison,-326
Mary Gingerich,-71
Candice Mckee,-153
Ernest White,-989.706
Elsie Webb,-118.401
Shirley Saleha,-133
Howard Nichols,-257.688
Heather Stuart,-484.947
Lawrence Corvin,-487
Bonita Moye,-856.494
Becky Quinn,-294.346
Marie Daughtry,-293.669
Nancy Biros,-221
Misty Randall,-374
Moises Morris,-620.797
Paul Gardner,-493
Juanita Smith,-949.677
Omar Jaffe,-250
Valeri Hirst,-143
Ronald Mashaw,-588.999
Dawn Robertson,-99.516
Nicholas Smith,-793
Lacie Carr,-977.872
Joe Watson,-956
Mae Fabela,-449.579
Jeffery Hernandez,-535.14
Gary Hammond,-80.299
Maggie Numbers,-353.438
William Omara,-216
Lynne Brandt,-556
Manuel Reyes,-746
Matthew Gibbons,-489.400
Della Mayo,-354.10
Mark Puga,-752
Wayne Matthews,-733
Gary Pizer,-877.602
Mathew Marshall,-687.367
Kirk Martorello,-205
Philip Martin,-285.884
Christopher Hollenbeck,-533
Tammie Stinson,-963
Vera Harris,-317.269
Connie Herrera,-333.45
Patrick Walters,-424.510
Alissa Cook,-386.664
William Cardwell,-60
Kathleen Garcia,-175
Florence Shaw,-31.880
Kelly Rome,-780.463
